Day,Supplier,Distribution_Center,Product_Category,Shipped_Volume,Received_Volume,Performance_Gap
0,S23,B,Beverages,122,447.0,-325.0
0,S23,C,Beverages,128,551.0,-423.0
0,S23,D,Beverages,108,489.0,-381.0
0,S23,E,Beverages,276,1032.0,-756.0
0,S24,A,Beverages,137,580.0,-443.0
0,S24,B,Beverages,118,447.0,-329.0
0,S24,C,Beverages,124,551.0,-427.0
0,S24,D,Beverages,131,489.0,-358.0
0,S24,E,Beverages,264,1032.0,-768.0
0,S25,A,Beverages,143,580.0,-437.0
0,S25,B,Beverages,97,447.0,-350.0
0,S25,C,Beverages,146,551.0,-405.0
0,S25,D,Beverages,134,489.0,-355.0
0,S25,E,Beverages,247,1032.0,-785.0
0,S26,A,Beverages,154,580.0,-426.0
0,S26,B,Beverages,110,447.0,-337.0
0,S26,C,Beverages,153,551.0,-398.0
0,S26,D,Beverages,116,489.0,-373.0
0,S26,E,Beverages,245,1032.0,-787.0
0,S27,A,Bakery,53,191.0,-138.0
0,S27,B,Bakery,42,149.0,-107.0
0,S27,C,Bakery,44,188.0,-144.0
0,S27,D,Bakery,41,155.0,-114.0
0,S27,E,Bakery,77,307.0,-230.0
0,S28,A,Bakery,46,191.0,-145.0
0,S28,B,Bakery,38,149.0,-111.0
0,S28,C,Bakery,42,188.0,-146.0
0,S28,D,Bakery,34,155.0,-121.0
0,S28,E,Bakery,78,307.0,-229.0
0,S29,A,Bakery,46,191.0,-145.0
0,S29,B,Bakery,29,149.0,-120.0
0,S29,C,Bakery,48,188.0,-140.0
0,S29,D,Bakery,43,155.0,-112.0
0,S29,E,Bakery,65,307.0,-242.0
0,S3,A,Meat,37,180.0,-143.0
0,S3,B,Meat,23,140.0,-117.0
0,S3,C,Meat,37,176.0,-139.0
0,S3,D,Meat,35,160.0,-125.0
0,S3,E,Meat,60,291.0,-231.0
0,S30,A,Bakery,46,191.0,-145.0
0,S30,B,Bakery,40,149.0,-109.0
0,S30,C,Bakery,54,188.0,-134.0
0,S30,D,Bakery,37,155.0,-118.0
0,S30,E,Bakery,87,307.0,-220.0
0,S4,A,Meat,29,180.0,-151.0
0,S4,B,Meat,25,140.0,-115.0
0,S4,C,Meat,37,176.0,-139.0
0,S4,D,Meat,33,160.0,-127.0
0,S4,E,Meat,64,291.0,-227.0
0,S5,A,Meat,39,180.0,-141.0
0,S5,B,Meat,27,140.0,-113.0
0,S5,C,Meat,25,176.0,-151.0
0,S5,D,Meat,29,160.0,-131.0
0,S5,E,Meat,59,291.0,-232.0
0,S6,C,Dairy,73,442.0,-369.0
0,S6,D,Dairy,56,373.0,-317.0
0,S6,E,Dairy,107,765.0,-658.0
0,S7,C,Dairy,71,442.0,-371.0
0,S7,D,Dairy,56,373.0,-317.0
0,S7,E,Dairy,111,765.0,-654.0
0,S8,C,Dairy,66,442.0,-376.0
0,S8,D,Dairy,46,373.0,-327.0
0,S8,E,Dairy,108,765.0,-657.0
0,S9,C,Dairy,52,442.0,-390.0
0,S9,D,Dairy,49,373.0,-324.0
0,S9,E,Dairy,115,765.0,-650.0
1,S1,A,Meat,40,190.0,-150.0
1,S1,B,Meat,28,160.0,-132.0
1,S1,C,Meat,34,142.0,-108.0
1,S1,D,Meat,23,148.0,-125.0
1,S1,E,Meat,69,312.0,-243.0
1,S10,C,Dairy,59,428.0,-369.0
1,S10,D,Dairy,52,394.0,-342.0
1,S10,E,Dairy,106,870.0,-764.0
1,S11,C,Dairy,57,428.0,-371.0
1,S11,D,Dairy,58,394.0,-336.0
1,S11,E,Dairy,129,870.0,-741.0
1,S12,C,Dairy,70,428.0,-358.0
1,S12,D,Dairy,61,394.0,-333.0
1,S12,E,Dairy,143,870.0,-727.0
1,S13,A,Vegetables,65,773.0,-708.0
1,S13,B,Vegetables,86,812.0,-726.0
1,S13,E,Vegetables,168,1594.0,-1426.0
1,S14,A,Vegetables,94,773.0,-679.0
1,S14,B,Vegetables,80,812.0,-732.0
1,S14,E,Vegetables,157,1594.0,-1437.0
1,S15,A,Vegetables,73,773.0,-700.0
1,S15,B,Vegetables,79,812.0,-733.0
1,S15,E,Vegetables,158,1594.0,-1436.0
1,S16,A,Vegetables,70,773.0,-703.0
1,S16,B,Vegetables,62,812.0,-750.0
1,S16,E,Vegetables,164,1594.0,-1430.0
1,S17,A,Vegetables,72,773.0,-701.0
1,S17,B,Vegetables,86,812.0,-726.0
1,S17,E,Vegetables,165,1594.0,-1429.0
1,S18,A,Vegetables,78,773.0,-695.0
1,S18,B,Vegetables,74,812.0,-738.0
1,S18,E,Vegetables,159,1594.0,-1435.0
1,S19,A,Vegetables,79,773.0,-694.0
1,S19,B,Vegetables,95,812.0,-717.0
1,S19,E,Vegetables,150,1594.0,-1444.0
1,S2,A,Meat,46,190.0,-144.0
1,S2,B,Meat,33,160.0,-127.0
1,S2,C,Meat,23,142.0,-119.0
1,S2,D,Meat,34,148.0,-114.0
1,S2,E,Meat,57,312.0,-255.0
1,S20,A,Vegetables,83,773.0,-690.0
1,S20,B,Vegetables,83,812.0,-729.0
1,S20,E,Vegetables,152,1594.0,-1442.0
1,S21,A,Vegetables,86,773.0,-687.0
1,S21,B,Vegetables,86,812.0,-726.0
1,S21,E,Vegetables,158,1594.0,-1436.0
1,S22,A,Vegetables,73,773.0,-700.0
1,S22,B,Vegetables,81,812.0,-731.0
1,S22,E,Vegetables,163,1594.0,-1431.0
1,S23,A,Beverages,134,563.0,-429.0
1,S23,B,Beverages,135,532.0,-397.0
1,S23,C,Beverages,135,536.0,-401.0
1,S23,D,Beverages,132,557.0,-425.0
1,S23,E,Beverages,271,1134.0,-863.0
1,S24,A,Beverages,155,563.0,-408.0
1,S24,B,Beverages,125,532.0,-407.0
1,S24,C,Beverages,145,536.0,-391.0
1,S24,D,Beverages,150,557.0,-407.0
1,S24,E,Beverages,285,1134.0,-849.0
1,S25,A,Beverages,140,563.0,-423.0
1,S25,B,Beverages,132,532.0,-400.0
1,S25,C,Beverages,129,536.0,-407.0
1,S25,D,Beverages,136,557.0,-421.0
1,S25,E,Beverages,302,1134.0,-832.0
1,S26,A,Beverages,134,563.0,-429.0
1,S26,B,Beverages,140,532.0,-392.0
1,S26,C,Beverages,127,536.0,-409.0
1,S26,D,Beverages,139,557.0,-418.0
1,S26,E,Beverages,276,1134.0,-858.0
1,S27,A,Bakery,41,164.0,-123.0
1,S27,B,Bakery,46,168.0,-122.0
1,S27,C,Bakery,44,165.0,-121.0
1,S27,D,Bakery,47,163.0,-116.0
1,S27,E,Bakery,81,314.0,-233.0
1,S28,A,Bakery,35,164.0,-129.0
1,S28,B,Bakery,39,168.0,-129.0
1,S28,C,Bakery,40,165.0,-125.0
1,S28,D,Bakery,35,163.0,-128.0
1,S28,E,Bakery,78,314.0,-236.0
1,S29,A,Bakery,44,164.0,-120.0
1,S29,B,Bakery,44,168.0,-124.0
1,S29,C,Bakery,42,165.0,-123.0
1,S29,D,Bakery,30,163.0,-133.0
1,S29,E,Bakery,83,314.0,-231.0
1,S3,A,Meat,31,190.0,-159.0
1,S3,B,Meat,25,160.0,-135.0
1,S3,C,Meat,33,142.0,-109.0
1,S3,D,Meat,30,148.0,-118.0
1,S3,E,Meat,72,312.0,-240.0
1,S30,A,Bakery,44,164.0,-120.0
1,S30,B,Bakery,39,168.0,-129.0
1,S30,C,Bakery,39,165.0,-126.0
1,S30,D,Bakery,51,163.0,-112.0
1,S30,E,Bakery,72,314.0,-242.0
1,S4,A,Meat,38,190.0,-152.0
1,S4,B,Meat,42,160.0,-118.0
1,S4,C,Meat,29,142.0,-113.0
1,S4,D,Meat,24,148.0,-124.0
1,S4,E,Meat,67,312.0,-245.0
1,S5,A,Meat,35,190.0,-155.0
1,S5,B,Meat,32,160.0,-128.0
1,S5,C,Meat,23,142.0,-119.0
1,S5,D,Meat,37,148.0,-111.0
1,S5,E,Meat,47,312.0,-265.0
1,S6,C,Dairy,57,428.0,-371.0
1,S6,D,Dairy,52,394.0,-342.0
1,S6,E,Dairy,124,870.0,-746.0
1,S7,C,Dairy,54,428.0,-374.0
1,S7,D,Dairy,53,394.0,-341.0
1,S7,E,Dairy,133,870.0,-737.0
1,S8,C,Dairy,79,428.0,-349.0
1,S8,D,Dairy,54,394.0,-340.0
1,S8,E,Dairy,109,870.0,-761.0
1,S9,C,Dairy,52,428.0,-376.0
1,S9,D,Dairy,64,394.0,-330.0
1,S9,E,Dairy,126,870.0,-744.0
2,S1,A,Meat,30,152.0,-122.0
2,S1,B,Meat,39,181.0,-142.0
2,S1,C,Meat,32,157.0,-125.0
2,S1,D,Meat,35,152.0,-117.0
2,S1,E,Meat,62,301.0,-239.0
2,S10,C,Dairy,46,389.0,-343.0
2,S10,D,Dairy,81,421.0,-340.0
2,S10,E,Dairy,115,820.0,-705.0
2,S11,C,Dairy,47,389.0,-342.0
2,S11,D,Dairy,60,421.0,-361.0
2,S11,E,Dairy,132,820.0,-688.0
2,S12,C,Dairy,68,389.0,-321.0
2,S12,D,Dairy,46,421.0,-375.0
2,S12,E,Dairy,116,820.0,-704.0
2,S13,A,Vegetables,73,752.0,-679.0
2,S13,B,Vegetables,90,811.0,-721.0
2,S13,E,Vegetables,160,1569.0,-1409.0
2,S14,A,Vegetables,72,752.0,-680.0
2,S14,B,Vegetables,73,811.0,-738.0
2,S14,E,Vegetables,131,1569.0,-1438.0
2,S15,A,Vegetables,67,752.0,-685.0
2,S15,B,Vegetables,88,811.0,-723.0
2,S15,E,Vegetables,151,1569.0,-1418.0
2,S16,A,Vegetables,87,752.0,-665.0
2,S16,B,Vegetables,86,811.0,-725.0
2,S16,E,Vegetables,162,1569.0,-1407.0
2,S17,A,Vegetables,77,752.0,-675.0
2,S17,B,Vegetables,90,811.0,-721.0
2,S17,E,Vegetables,164,1569.0,-1405.0
2,S18,A,Vegetables,84,752.0,-668.0
2,S18,B,Vegetables,92,811.0,-719.0
2,S18,E,Vegetables,158,1569.0,-1411.0
2,S19,A,Vegetables,84,752.0,-668.0
2,S19,B,Vegetables,72,811.0,-739.0
2,S19,E,Vegetables,167,1569.0,-1402.0
2,S2,A,Meat,23,152.0,-129.0
2,S2,B,Meat,38,181.0,-143.0
2,S2,C,Meat,36,157.0,-121.0
2,S2,D,Meat,31,152.0,-121.0
2,S2,E,Meat,58,301.0,-243.0
2,S20,A,Vegetables,55,752.0,-697.0
2,S20,B,Vegetables,73,811.0,-738.0
2,S20,E,Vegetables,157,1569.0,-1412.0
2,S21,A,Vegetables,79,752.0,-673.0
2,S21,B,Vegetables,73,811.0,-738.0
2,S21,E,Vegetables,158,1569.0,-1411.0
2,S22,A,Vegetables,74,752.0,-678.0
2,S22,B,Vegetables,74,811.0,-737.0
2,S22,E,Vegetables,161,1569.0,-1408.0
2,S23,A,Beverages,121,508.0,-387.0
2,S23,B,Beverages,121,567.0,-446.0
2,S23,C,Beverages,124,475.0,-351.0
2,S23,D,Beverages,130,551.0,-421.0
2,S23,E,Beverages,224,975.0,-751.0
2,S24,A,Beverages,117,508.0,-391.0
2,S24,B,Beverages,165,567.0,-402.0
2,S24,C,Beverages,127,475.0,-348.0
2,S24,D,Beverages,156,551.0,-395.0
2,S24,E,Beverages,272,975.0,-703.0
2,S25,A,Beverages,116,508.0,-392.0
2,S25,B,Beverages,143,567.0,-424.0
2,S25,C,Beverages,108,475.0,-367.0
2,S25,D,Beverages,138,551.0,-413.0
2,S25,E,Beverages,244,975.0,-731.0
2,S26,A,Beverages,154,508.0,-354.0
2,S26,B,Beverages,138,567.0,-429.0
2,S26,C,Beverages,116,475.0,-359.0
2,S26,D,Beverages,127,551.0,-424.0
2,S26,E,Beverages,235,975.0,-740.0
2,S27,A,Bakery,40,170.0,-130.0
2,S27,B,Bakery,45,172.0,-127.0
2,S27,C,Bakery,28,154.0,-126.0
2,S27,D,Bakery,50,170.0,-120.0
2,S27,E,Bakery,76,307.0,-231.0
2,S28,A,Bakery,50,170.0,-120.0
2,S28,B,Bakery,40,172.0,-132.0
2,S28,C,Bakery,52,154.0,-102.0
2,S28,D,Bakery,39,170.0,-131.0
2,S28,E,Bakery,81,307.0,-226.0
2,S29,A,Bakery,42,170.0,-128.0
2,S29,B,Bakery,43,172.0,-129.0
2,S29,C,Bakery,35,154.0,-119.0
2,S29,D,Bakery,40,170.0,-130.0
2,S29,E,Bakery,73,307.0,-234.0
2,S3,A,Meat,31,152.0,-121.0
2,S3,B,Meat,31,181.0,-150.0
2,S3,C,Meat,30,157.0,-127.0
2,S3,D,Meat,27,152.0,-125.0
2,S3,E,Meat,64,301.0,-237.0
2,S30,A,Bakery,38,170.0,-132.0
2,S30,B,Bakery,44,172.0,-128.0
2,S30,C,Bakery,39,154.0,-115.0
2,S30,D,Bakery,41,170.0,-129.0
2,S30,E,Bakery,77,307.0,-230.0
2,S4,A,Meat,36,152.0,-116.0
2,S4,B,Meat,37,181.0,-144.0
2,S4,C,Meat,27,157.0,-130.0
2,S4,D,Meat,31,152.0,-121.0
2,S4,E,Meat,63,301.0,-238.0
2,S5,A,Meat,32,152.0,-120.0
2,S5,B,Meat,36,181.0,-145.0
2,S5,C,Meat,32,157.0,-125.0
2,S5,D,Meat,28,152.0,-124.0
2,S5,E,Meat,54,301.0,-247.0
2,S6,C,Dairy,59,389.0,-330.0
2,S6,D,Dairy,60,421.0,-361.0
2,S6,E,Dairy,105,820.0,-715.0
2,S7,C,Dairy,59,389.0,-330.0
2,S7,D,Dairy,62,421.0,-359.0
2,S7,E,Dairy,116,820.0,-704.0
2,S8,C,Dairy,57,389.0,-332.0
2,S8,D,Dairy,56,421.0,-365.0
2,S8,E,Dairy,102,820.0,-718.0
2,S9,C,Dairy,53,389.0,-336.0
2,S9,D,Dairy,56,421.0,-365.0
2,S9,E,Dairy,134,820.0,-686.0
3,S1,A,Meat,38,167.0,-129.0
3,S1,B,Meat,24,153.0,-129.0
3,S1,C,Meat,30,148.0,-118.0
3,S1,D,Meat,32,162.0,-130.0
3,S1,E,Meat,73,354.0,-281.0
3,S10,C,Dairy,64,447.0,-383.0
3,S10,D,Dairy,63,434.0,-371.0
3,S10,E,Dairy,126,897.0,-771.0
3,S11,C,Dairy,54,447.0,-393.0
3,S11,D,Dairy,70,434.0,-364.0
3,S11,E,Dairy,141,897.0,-756.0
3,S12,C,Dairy,69,447.0,-378.0
3,S12,D,Dairy,63,434.0,-371.0
3,S12,E,Dairy,132,897.0,-765.0
3,S13,A,Vegetables,69,744.0,-675.0
3,S13,B,Vegetables,84,789.0,-705.0
3,S13,E,Vegetables,171,1619.0,-1448.0
3,S14,A,Vegetables,79,744.0,-665.0
3,S14,B,Vegetables,85,789.0,-704.0
3,S14,E,Vegetables,134,1619.0,-1485.0
3,S15,A,Vegetables,77,744.0,-667.0
3,S15,B,Vegetables,84,789.0,-705.0
3,S15,E,Vegetables,175,1619.0,-1444.0
3,S16,A,Vegetables,80,744.0,-664.0
3,S16,B,Vegetables,81,789.0,-708.0
3,S16,E,Vegetables,170,1619.0,-1449.0
3,S17,A,Vegetables,73,744.0,-671.0
3,S17,B,Vegetables,77,789.0,-712.0
3,S17,E,Vegetables,143,1619.0,-1476.0
3,S18,A,Vegetables,74,744.0,-670.0
3,S18,B,Vegetables,64,789.0,-725.0
3,S18,E,Vegetables,158,1619.0,-1461.0
3,S19,A,Vegetables,56,744.0,-688.0
3,S19,B,Vegetables,78,789.0,-711.0
3,S19,E,Vegetables,185,1619.0,-1434.0
3,S2,A,Meat,44,167.0,-123.0
3,S2,B,Meat,27,153.0,-126.0
3,S2,C,Meat,27,148.0,-121.0
3,S2,D,Meat,25,162.0,-137.0
3,S2,E,Meat,62,354.0,-292.0
3,S20,A,Vegetables,81,744.0,-663.0
3,S20,B,Vegetables,69,789.0,-720.0
3,S20,E,Vegetables,158,1619.0,-1461.0
3,S21,A,Vegetables,65,744.0,-679.0
3,S21,B,Vegetables,81,789.0,-708.0
3,S21,E,Vegetables,169,1619.0,-1450.0
3,S22,A,Vegetables,90,744.0,-654.0
3,S22,B,Vegetables,86,789.0,-703.0
3,S22,E,Vegetables,156,1619.0,-1463.0
3,S23,A,Beverages,141,569.0,-428.0
3,S23,B,Beverages,146,566.0,-420.0
3,S23,C,Beverages,128,557.0,-429.0
3,S23,D,Beverages,156,554.0,-398.0
3,S23,E,Beverages,258,1073.0,-815.0
3,S24,A,Beverages,144,569.0,-425.0
3,S24,B,Beverages,147,566.0,-419.0
3,S24,C,Beverages,163,557.0,-394.0
3,S24,D,Beverages,114,554.0,-440.0
3,S24,E,Beverages,255,1073.0,-818.0
3,S25,A,Beverages,145,569.0,-424.0
3,S25,B,Beverages,130,566.0,-436.0
3,S25,C,Beverages,142,557.0,-415.0
3,S25,D,Beverages,153,554.0,-401.0
3,S25,E,Beverages,277,1073.0,-796.0
3,S26,A,Beverages,139,569.0,-430.0
3,S26,B,Beverages,143,566.0,-423.0
3,S26,C,Beverages,124,557.0,-433.0
3,S26,D,Beverages,131,554.0,-423.0
3,S26,E,Beverages,283,1073.0,-790.0
3,S27,A,Bakery,46,160.0,-114.0
3,S27,B,Bakery,44,167.0,-123.0
3,S27,C,Bakery,48,187.0,-139.0
3,S27,D,Bakery,45,197.0,-152.0
3,S27,E,Bakery,73,304.0,-231.0
3,S28,A,Bakery,36,160.0,-124.0
3,S28,B,Bakery,45,167.0,-122.0
3,S28,C,Bakery,48,187.0,-139.0
3,S28,D,Bakery,50,197.0,-147.0
3,S28,E,Bakery,73,304.0,-231.0
3,S29,A,Bakery,41,160.0,-119.0
3,S29,B,Bakery,36,167.0,-131.0
3,S29,C,Bakery,42,187.0,-145.0
3,S29,D,Bakery,50,197.0,-147.0
3,S29,E,Bakery,78,304.0,-226.0
3,S3,A,Meat,33,167.0,-134.0
3,S3,B,Meat,37,153.0,-116.0
3,S3,C,Meat,26,148.0,-122.0
3,S3,D,Meat,29,162.0,-133.0
3,S3,E,Meat,72,354.0,-282.0
3,S30,A,Bakery,37,160.0,-123.0
3,S30,B,Bakery,42,167.0,-125.0
3,S30,C,Bakery,49,187.0,-138.0
3,S30,D,Bakery,52,197.0,-145.0
3,S30,E,Bakery,80,304.0,-224.0
3,S4,A,Meat,24,167.0,-143.0
3,S4,B,Meat,28,153.0,-125.0
3,S4,C,Meat,33,148.0,-115.0
3,S4,D,Meat,46,162.0,-116.0
3,S4,E,Meat,75,354.0,-279.0
3,S5,A,Meat,28,167.0,-139.0
3,S5,B,Meat,37,153.0,-116.0
3,S5,C,Meat,32,148.0,-116.0
3,S5,D,Meat,30,162.0,-132.0
3,S5,E,Meat,72,354.0,-282.0
3,S6,C,Dairy,70,447.0,-377.0
3,S6,D,Dairy,69,434.0,-365.0
3,S6,E,Dairy,131,897.0,-766.0
3,S7,C,Dairy,65,447.0,-382.0
3,S7,D,Dairy,56,434.0,-378.0
3,S7,E,Dairy,128,897.0,-769.0
3,S8,C,Dairy,64,447.0,-383.0
3,S8,D,Dairy,55,434.0,-379.0
3,S8,E,Dairy,114,897.0,-783.0
3,S9,C,Dairy,61,447.0,-386.0
3,S9,D,Dairy,58,434.0,-376.0
3,S9,E,Dairy,125,897.0,-772.0
4,S1,A,Meat,31,161.0,-130.0
4,S1,B,Meat,22,180.0,-158.0
4,S1,C,Meat,36,179.0,-143.0
4,S1,D,Meat,35,156.0,-121.0
4,S1,E,Meat,63,343.0,-280.0
4,S10,C,Dairy,57,464.0,-407.0
4,S10,D,Dairy,57,427.0,-370.0
4,S10,E,Dairy,119,899.0,-780.0
4,S11,C,Dairy,62,464.0,-402.0
4,S11,D,Dairy,57,427.0,-370.0
4,S11,E,Dairy,129,899.0,-770.0
4,S12,C,Dairy,66,464.0,-398.0
4,S12,D,Dairy,61,427.0,-366.0
4,S12,E,Dairy,112,899.0,-787.0
4,S13,A,Vegetables,96,822.0,-726.0
4,S13,B,Vegetables,86,777.0,-691.0
4,S13,E,Vegetables,162,1635.0,-1473.0
4,S14,A,Vegetables,79,822.0,-743.0
4,S14,B,Vegetables,76,777.0,-701.0
4,S14,E,Vegetables,152,1635.0,-1483.0
4,S15,A,Vegetables,81,822.0,-741.0
4,S15,B,Vegetables,72,777.0,-705.0
4,S15,E,Vegetables,149,1635.0,-1486.0
4,S16,A,Vegetables,65,822.0,-757.0
4,S16,B,Vegetables,75,777.0,-702.0
4,S16,E,Vegetables,168,1635.0,-1467.0
4,S17,A,Vegetables,72,822.0,-750.0
4,S17,B,Vegetables,75,777.0,-702.0
4,S17,E,Vegetables,158,1635.0,-1477.0
4,S18,A,Vegetables,77,822.0,-745.0
4,S18,B,Vegetables,79,777.0,-698.0
4,S18,E,Vegetables,163,1635.0,-1472.0
4,S19,A,Vegetables,86,822.0,-736.0
4,S19,B,Vegetables,92,777.0,-685.0
4,S19,E,Vegetables,149,1635.0,-1486.0
4,S2,A,Meat,40,161.0,-121.0
4,S2,B,Meat,39,180.0,-141.0
4,S2,C,Meat,38,179.0,-141.0
4,S2,D,Meat,25,156.0,-131.0
4,S2,E,Meat,79,343.0,-264.0
4,S20,A,Vegetables,76,822.0,-746.0
4,S20,B,Vegetables,79,777.0,-698.0
4,S20,E,Vegetables,174,1635.0,-1461.0
4,S21,A,Vegetables,96,822.0,-726.0
4,S21,B,Vegetables,68,777.0,-709.0
4,S21,E,Vegetables,183,1635.0,-1452.0
4,S22,A,Vegetables,94,822.0,-728.0
4,S22,B,Vegetables,75,777.0,-702.0
4,S22,E,Vegetables,177,1635.0,-1458.0
4,S23,A,Beverages,149,551.0,-402.0
4,S23,B,Beverages,116,506.0,-390.0
4,S23,C,Beverages,147,643.0,-496.0
4,S23,D,Beverages,130,541.0,-411.0
4,S23,E,Beverages,318,1172.0,-854.0
4,S24,A,Beverages,125,551.0,-426.0
4,S24,B,Beverages,135,506.0,-371.0
4,S24,C,Beverages,165,643.0,-478.0
4,S24,D,Beverages,139,541.0,-402.0
4,S24,E,Beverages,269,1172.0,-903.0
4,S25,A,Beverages,132,551.0,-419.0
4,S25,B,Beverages,141,506.0,-365.0
4,S25,C,Beverages,173,643.0,-470.0
4,S25,D,Beverages,138,541.0,-403.0
4,S25,E,Beverages,290,1172.0,-882.0
4,S26,A,Beverages,145,551.0,-406.0
4,S26,B,Beverages,114,506.0,-392.0
4,S26,C,Beverages,158,643.0,-485.0
4,S26,D,Beverages,134,541.0,-407.0
4,S26,E,Beverages,295,1172.0,-877.0
4,S27,A,Bakery,47,173.0,-126.0
4,S27,B,Bakery,42,172.0,-130.0
4,S27,C,Bakery,51,195.0,-144.0
4,S27,D,Bakery,47,176.0,-129.0
4,S27,E,Bakery,90,355.0,-265.0
4,S28,A,Bakery,36,173.0,-137.0
4,S28,B,Bakery,44,172.0,-128.0
4,S28,C,Bakery,41,195.0,-154.0
4,S28,D,Bakery,45,176.0,-131.0
4,S28,E,Bakery,72,355.0,-283.0
4,S29,A,Bakery,43,173.0,-130.0
4,S29,B,Bakery,50,172.0,-122.0
4,S29,C,Bakery,55,195.0,-140.0
4,S29,D,Bakery,50,176.0,-126.0
4,S29,E,Bakery,101,355.0,-254.0
4,S3,A,Meat,34,161.0,-127.0
4,S3,B,Meat,35,180.0,-145.0
4,S3,C,Meat,37,179.0,-142.0
4,S3,D,Meat,42,156.0,-114.0
4,S3,E,Meat,66,343.0,-277.0
4,S30,A,Bakery,47,173.0,-126.0
4,S30,B,Bakery,36,172.0,-136.0
4,S30,C,Bakery,48,195.0,-147.0
4,S30,D,Bakery,34,176.0,-142.0
4,S30,E,Bakery,92,355.0,-263.0
4,S4,A,Meat,28,161.0,-133.0
4,S4,B,Meat,40,180.0,-140.0
4,S4,C,Meat,31,179.0,-148.0
4,S4,D,Meat,32,156.0,-124.0
4,S4,E,Meat,68,343.0,-275.0
4,S5,A,Meat,28,161.0,-133.0
4,S5,B,Meat,44,180.0,-136.0
4,S5,C,Meat,37,179.0,-142.0
4,S5,D,Meat,22,156.0,-134.0
4,S5,E,Meat,67,343.0,-276.0
4,S6,C,Dairy,73,464.0,-391.0
4,S6,D,Dairy,52,427.0,-375.0
4,S6,E,Dairy,126,899.0,-773.0
4,S7,C,Dairy,76,464.0,-388.0
4,S7,D,Dairy,66,427.0,-361.0
4,S7,E,Dairy,153,899.0,-746.0
4,S8,C,Dairy,71,464.0,-393.0
4,S8,D,Dairy,57,427.0,-370.0
4,S8,E,Dairy,141,899.0,-758.0
4,S9,C,Dairy,59,464.0,-405.0
4,S9,D,Dairy,77,427.0,-350.0
4,S9,E,Dairy,119,899.0,-780.0
5,S1,A,Meat,37,174.0,-137.0
5,S1,B,Meat,28,141.0,-113.0
5,S1,C,Meat,35,142.0,-107.0
5,S1,D,Meat,24,140.0,-116.0
5,S1,E,Meat,67,317.0,-250.0
5,S10,C,Dairy,60,445.0,-385.0
5,S10,D,Dairy,57,409.0,-352.0
5,S10,E,Dairy,115,806.0,-691.0
5,S11,C,Dairy,65,445.0,-380.0
5,S11,D,Dairy,57,409.0,-352.0
5,S11,E,Dairy,112,806.0,-694.0
5,S12,C,Dairy,55,445.0,-390.0
5,S12,D,Dairy,56,409.0,-353.0
5,S12,E,Dairy,115,806.0,-691.0
5,S13,A,Vegetables,79,810.0,-731.0
5,S13,B,Vegetables,89,835.0,-746.0
5,S13,E,Vegetables,172,1606.0,-1434.0
5,S14,A,Vegetables,87,810.0,-723.0
